prompt_id,prompt,shot,format,gpt_output
6,It does exactly what is says.  Can't get any better than that!  Nice to be able to watch movies on the big screen as opposed to my little Nook screen!,3,text,positive
6,It does exactly what is says.  Can't get any better than that!  Nice to be able to watch movies on the big screen as opposed to my little Nook screen!,3,markdown,positive
6,It does exactly what is says.  Can't get any better than that!  Nice to be able to watch movies on the big screen as opposed to my little Nook screen!,3,yaml,positive
6,It does exactly what is says.  Can't get any better than that!  Nice to be able to watch movies on the big screen as opposed to my little Nook screen!,3,json,positive
6,It does exactly what is says.  Can't get any better than that!  Nice to be able to watch movies on the big screen as opposed to my little Nook screen!,5,text,positive
6,It does exactly what is says.  Can't get any better than that!  Nice to be able to watch movies on the big screen as opposed to my little Nook screen!,5,markdown,positive
6,It does exactly what is says.  Can't get any better than that!  Nice to be able to watch movies on the big screen as opposed to my little Nook screen!,5,yaml,positive
6,It does exactly what is says.  Can't get any better than that!  Nice to be able to watch movies on the big screen as opposed to my little Nook screen!,5,json,positive
7,This product has been working well still and I would definitely purchase from them again.,0,text,positive
7,This product has been working well still and I would definitely purchase from them again.,0,markdown,unknown
7,This product has been working well still and I would definitely purchase from them again.,0,yaml,positive
7,This product has been working well still and I would definitely purchase from them again.,0,json,positive
7,This product has been working well still and I would definitely purchase from them again.,1,text,positive
7,This product has been working well still and I would definitely purchase from them again.,1,markdown,unknown
7,This product has been working well still and I would definitely purchase from them again.,1,yaml,positive
7,This product has been working well still and I would definitely purchase from them again.,1,json,positive
7,This product has been working well still and I would definitely purchase from them again.,3,text,positive
7,This product has been working well still and I would definitely purchase from them again.,3,markdown,positive
7,This product has been working well still and I would definitely purchase from them again.,3,yaml,positive
7,This product has been working well still and I would definitely purchase from them again.,3,json,unknown
7,This product has been working well still and I would definitely purchase from them again.,5,text,positive
7,This product has been working well still and I would definitely purchase from them again.,5,markdown,positive
7,This product has been working well still and I would definitely purchase from them again.,5,yaml,positive
7,This product has been working well still and I would definitely purchase from them again.,5,json,positive
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",0,text,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",0,markdown,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",0,yaml,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",0,json,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",1,text,neutral
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",1,markdown,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",1,yaml,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",1,json,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",3,text,unknown
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",3,markdown,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",3,yaml,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",3,json,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",5,text,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",5,markdown,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",5,yaml,negative
8,"These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning.",5,json,positive
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",0,text,neutral
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",0,markdown,negative
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",0,yaml,negative
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",0,json,neutral
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",1,text,neutral
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",1,markdown,negative
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",1,yaml,negative
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",1,json,negative
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",3,text,negative
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",3,markdown,positive
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",3,yaml,negative
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",3,json,positive
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",5,text,positive
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",5,markdown,negative
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",5,yaml,positive
9,"Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work.",5,json,negative
10,Looks better on line than the actual camera photo album - Still nice!,0,text,positive
10,Looks better on line than the actual camera photo album - Still nice!,0,markdown,positive
10,Looks better on line than the actual camera photo album - Still nice!,0,yaml,neutral
10,Looks better on line than the actual camera photo album - Still nice!,0,json,positive
10,Looks better on line than the actual camera photo album - Still nice!,1,text,positive
10,Looks better on line than the actual camera photo album - Still nice!,1,markdown,positive
10,Looks better on line than the actual camera photo album - Still nice!,1,yaml,neutral
10,Looks better on line than the actual camera photo album - Still nice!,1,json,positive
10,Looks better on line than the actual camera photo album - Still nice!,3,text,positive
10,Looks better on line than the actual camera photo album - Still nice!,3,markdown,positive
10,Looks better on line than the actual camera photo album - Still nice!,3,yaml,negative
10,Looks better on line than the actual camera photo album - Still nice!,3,json,negative
10,Looks better on line than the actual camera photo album - Still nice!,5,text,positive
10,Looks better on line than the actual camera photo album - Still nice!,5,markdown,positive
10,Looks better on line than the actual camera photo album - Still nice!,5,yaml,positive
10,Looks better on line than the actual camera photo album - Still nice!,5,json,positive
